author,topic,text,effective
18468761129,gay rights,"""If you think I’m gay, send your girlfriend over to my house for the weekend and see what happens."" 😳",False
18468761129,healthcare,"When it comes to Obamacare, no accusation is too far out there.",False
18468761129,climate,"On climate, Trump might end up on the wrong side of history. But you don't have to.",False
18468761129,abortion,The measure is the most extreme abortion restriction in the country.,False
18468761129,healthcare,Women have a lot to lose if Obamacare is repealed.,False
18468761129,climate,This is what happens when a climate change denier leads an agency that’s supposed to support science.,False
18468761129,climate,This is the political climate that children are growing up in.,False
18468761129,guns,This teen is leading the fight against gun violence.,False
18468761129,gay rights,"Harvey Milk was assassinated 38 years ago today. Just 9 days before he was killed, the gay rights activist left a message about hope.",False
18468761129,climate,"“Every Republican candidate is either a climate change denier or a skeptic...""",False
18468761129,healthcare,"Many people are unhappy with Obamacare, yes. But many others value the coverage.",False
18468761129,climate,Climate change is likely the culprit.,False
18468761129,marijuana,"“I smoke weed. Weed don’t make you do that.""",False
18468761129,gay rights,This man wanted to jail people for having gay sex IN THEIR OWN HOMES.,False
18468761129,climate,"For starters, he says climate change is ""nothing to worry about.""",False
18468761129,immigration,"""We are not going to engage in law enforcement activities solely based on somebody’s immigration status.""",False
18468761129,climate,"“The truth is, Democrats should not be losing to a candidate who insults so many people, who wants to give huge tax breaks to the top two tenths of 1 percent and who rejects climate change.""

— Bernie Sanders",
48245858048,climate,"Nine protesters claimed that the ""climate crisis is a racist crisis"", sitting on the runway.",True
48245858048,gay rights,Gay marriage is becoming a showdown topic in Alabama once again,True
48245858048,gay rights,"Another, Featured,  David Miller interview for Wikinews.

""[...] it is possible to be sane and insane all in one day if, for instance, you are gay and fly from the United Kingdom to Saudi Arabia.""",True
48245858048,gender equality,"Since the World Bank issued its 2012 World Development Report on Gender Equality and Development we've looked at the data from the perspectives of India, Australia, Jamaica, Fiji, the US, Iceland, and Finland.

Where next? We're thinking Liberia...",True
48245858048,gender equality,"That last article marks the last in our series looking at the 2012 Report on Gender Equality and Development. Several of our reporters think this is an important topic and with most coverage dealing with global trends, one hardworking contributor took it upon herself to zero in on specific countries.

What did you make of them? Depending on demand, we may release a few more over the weekend.",True
48245858048,immigration,Egypt opens border crossing with Gaza,
48245858048,guns,"NBA star Gilbert Arenas pleads guilty to gun possession, could face six months in prison",
48245858048,guns,"Muslim cleric, two officers killed after gun attacks in southern Russia",
16512617979,climate,"""What we have now is an inadequate target and a climate plan that is not sufficient to meet the inadequate target.""",False
16512617979,climate,Read Emma Thompson and Danny Glover’s urgent letter introducing The Real News’ Global Climate Change Bureau.,False
16512617979,epa,"Billionaire Carl Icahn, from owning stock in one of the companies responsible for the BP oil spill, to picking the new EPA chief.",False
16512617979,climate,Trump's plan is to scrap NASA's Earth Science Research Division to curtail research into climate change.,False
16512617979,climate,"Scientists are saying that by the year 2050 we will pass the 2 degree threshold and that was before the election of Trump. Watch Paul Jay's urgent appeal and make a donation today. 

Head over to http://therealnews.com/donate to help make our Global Climate Change Bureau a reality.",False
16512617979,climate,TRNN Replay: The U.S. military concerns over climate change are based on continuing to operate their huge global imperial footprint.,False
16512617979,climate,"Col. Lawrence Wilkerson tells Paul Jay that while some Republicans acknowledge climate change and see the national security threat, most don't believe it's caused by human activity and see no reason to regulate or phase out fossil fuels.

Watch the full interview: http://bit.ly/2fXAS9P",False
16512617979,climate,"What will it take to convince Republicans that believe in climate change, that it is tied to human activity?",False
16512617979,climate,"At COP22, the Environment Minister of the Australian Capital Territory describes his state's ambitious climate action plan.",True
16512617979,climate,"PERI co-director Bob Pollin describes his plan that guarantees pensions and wages, shifts workers out of the industry through retirement rather than job losses, and helps the country meet the UN climate goals.",True
16512617979,climate,"""First Nations people in Canada contribute the least affect to climate change and the environment, and yet my people feel the full affects in their communities."" - First Nations Indigenous Leader Kevin Hart",False
16512617979,climate,"The election of Trump has galvanized the attendees of the #COP22 conference, who feel that not even a climate change denier can stop the momentum of the Paris Agreement.",True
16512617979,climate,"If we do not take the next exit ramp from the fossil fuel highway, we commitment ourselves to dangerous and irreversible changes in our climate, says Dr. Michael Mann.

Watch the full interview: http://bit.ly/2fNmotQ",False
16512617979,climate,"Both Trump and Pence are climate change deniers, with Trump calling climate change a Chinese hoax.",False
16512617979,healthcare,"Rank-and-file nurses and healthcare advocates will resist attempts by the Trump administration to repeal the Affordable Care Act - unless it's replaced with Medicare for All, says Donna Smith of Progressive Democrats of America.",False
16512617979,climate,Is this the end of the Paris Climate Agreement?,False
16512617979,climate,"""Perhaps the most dangerous thing that happened tonight is that we are now going to have a congress and a President who don't believe human caused climate change is real.""",False
16512617979,climate,Why did climate change get so little coverage during this election?,False
